queries,files
Model-Number-S430FA-EB039T,Laptop.json
Screen-Resolution-1920x1080-pixel,Laptop.json
Laptop,Laptop.json
Surface-Go,Laptop.json
Screen-Resolution-1920-x-1280-pixel,Laptop.json
Dimensions-308-x-209-x-16.5mm,Laptop.json
Part-Number-81A80090IN,Laptop.json
"USB-Port-1-x-USB-2.0,-2-x-USB-3.0",Laptop.json
Model-Number-X412FA-EK230T,Laptop.json
Intel-Integrated-HD-615,Laptop.json
Weight-0.522-kg,Laptop.json
Upto-20-GB,Laptop.json
UN.HEYSI.003,Laptop.json
Dimensions-323-x-226-x-18-mm,Laptop.json
Dual-Far-field-Studio-Mics,Laptop.json
Ideapad-S145,Laptop.json
Model-Number-G3-572,Laptop.json
Dimensions-399-x-293-x-26.5-mm,Laptop.json
Model-Number-S410UA-EB409T,Laptop.json
Dimensions-383-x-260-x-29-mm,Laptop.json
1AA32PA,Laptop.json
2.9-kg,Laptop.json
Li-ion-Battery,Laptop.json
Island-style-Keyboard,Laptop.json
Series-17,Laptop.json
Wireless-LAN,Laptop.json
Part-Number-81SY00C7IN,Laptop.json
Part-Number-80WK014GIN,Laptop.json
Processor-Variant-9300H,Laptop.json
Burgundy-Red,Laptop.json
Model-Number-G531GT-BQ124T,Laptop.json
Part-Number-90NB0KP1-M05160,Laptop.json
Spin-7,Laptop.json
Dimensions-380-x-262-x-24.7-mm,Laptop.json
2-x-1-W-Stereo-Speaker,Laptop.json
Graphic-Processor-NVIDIA-Geforce-GTX-1050Ti,Laptop.json
Backlit-Chiclet-Keyboard,Laptop.json
1.77-kg,Laptop.json
Illuminated-chiclet-keyboard,Laptop.json
Dedicated-Graphic-Memory-Type-GDDR6,Laptop.json
GL62-7RDX,Laptop.json
Multi-Touch-Trackpad,Laptop.json
NVIDIA-Geforce-N16S-GTR,Laptop.json
Standard-Keyboard,Laptop.json
2-(Unused-Slot---0),Laptop.json
Model-Number-NS13A1IN015P,Laptop.json
Dimensions-325-x-216-x-23.1-mm,Laptop.json
Part-Number-90NB0EC4-M15330,Laptop.json
Processor-Variant-6560U,Laptop.json
SD-Media-Card-Reader,Laptop.json
Model-Number-NS14A2IN239P,Laptop.json
Dedicated-Graphic-Memory-Type-DDR4,Laptop.json
ZenBook,Laptop.json
3.49-kg,Laptop.json
Model-Number-FX503VD-DM112T,Laptop.json
Part-Number-NS14A2IN239P,Laptop.json
Legion-Y540,Laptop.json
upto-20-GB,Laptop.json
Part-Number-90NR0223-M03600,Laptop.json
RAM-24-GB,Laptop.json
Model-Number-320e-15ikb-d,Laptop.json
Model-Number-X412UA-EK342T,Laptop.json
1.46-kg,Laptop.json
Model-Number-X543UA-DM582T,Laptop.json
Dimensions-324-x-225-x-17.9-mm,Laptop.json
Model-Number-NS14A2IN218P,Laptop.json
2-x-1.5-W-Speakers,Laptop.json
Sound-Chip-Realtek-ALC1220,Laptop.json
Hardware-Interface-SATA,Laptop.json
Part-Number-B569901WIN9,Laptop.json
8AG42PA,Laptop.json
Multi-touch-Trackpad,Laptop.json
EMMC-Storage-Capacity-64-GB,Laptop.json
Celeron-Dual-Core,Laptop.json
Processor-Variant-7Y54,Laptop.json
Cache-16-MB,Laptop.json
SSD-Capacity-1-TB,Laptop.json
Natural-Silver,Laptop.json
Cache-2-MB,Laptop.json
1.51-kg,Laptop.json
Part-Number-90NB0P51-M01470,Laptop.json
Wireless-LAN-Intel-Wi-Fi-6-AX-200-(2x2),Laptop.json
Operating-System-DOS,Laptop.json
Model-Number-520-15IKB,Laptop.json
Falkon-Aerbook,Laptop.json
9VX41PA#ACJ,Laptop.json
Part-Number-90NR02H1-M00380,Laptop.json
VivoBook-S14,Laptop.json
Model-Number-S340-14API,Laptop.json
Dimensions-327-x-225-x-17.6-mm,Laptop.json
Dimensions-324-x-225-x-19-mm,Laptop.json
Model-Number-VOS-3480,Laptop.json
Surface-Pro-7,Laptop.json
Ceramic-White,Laptop.json
Graphic-Processor-NVIDIA-Geforce-GTX-1050,Laptop.json
Upto-8.5-hours,Laptop.json
Laptop-Bag-No,Laptop.json
Optane-Memory-32-GB,Laptop.json
Model-Number-S540-15IML,Laptop.json
Dimensions-300-x-213.5-x-13.45-mm,Laptop.json
AMD-Radeon-520,Laptop.json
Part-Number-SLV-C568125WIN9,Laptop.json
Dimensions-302-x-189-x-16.9-mm,Laptop.json
Spectre-Folio,Laptop.json
Weight-1.125-kg,Laptop.json
Dragon-Gaming-Center,Laptop.json
Model-Number-G531GT-AL018T,Laptop.json
Dimensions-391-x-299.5-x-38.5-mm,Laptop.json
SSD-Capacity-8-GB,Laptop.json
Spin-5,Laptop.json
Series-FX503,Laptop.json
Model-Number-14-dh1007TU,Laptop.json
Processor-Variant-3200U,Laptop.json
1.40-kg,Laptop.json
Dedicated-Graphic-Memory-Type-GDDR5,Laptop.json
Wireless-LAN-IEEE-802.11ac/a/b/g/n,Laptop.json
Part-Number-81WL002RIN,Laptop.json
2GD83PA#ACJ,Laptop.json
Dimensions-335-x-232-x-21.5-mm,Laptop.json
Part-Number-2X017PA,Laptop.json
IR-HD-720P-Webcam-(ToF),Laptop.json
Processor-Variant-10210U,Laptop.json
Model-Number-14-da0004TU,Laptop.json
1-Year-Onsite,Laptop.json
Dual-Speakers,Laptop.json
Star-Grey,Laptop.json
Model-Number-15q-ds1001TU,Laptop.json
Sound-Chip-1366-x-768,Laptop.json
Part-Number-81UT0079IN,Laptop.json
4NL42PA#ACJ,Laptop.json
1.28-kg,Laptop.json
Bluetooth-4.1,Laptop.json
Part-Number-90NB0DW3-M01350,Laptop.json
Model-Number-G9-593,Laptop.json
IR-Webcam-(at-2.2-mm),Laptop.json
87-W-USB-C-Power-Adapter,Laptop.json
Part-Number-E-C552106UIN9,Laptop.json
HP-Wide-Vision-FHD-IR-Webcam,Laptop.json
Screen-Resolution-1366-x-768-Pixel,Laptop.json
Processor-Variant-3500U,Laptop.json
4.2-kg,Laptop.json
8LX85PA#ACJ,Laptop.json
8GA92PA#ACJ,Laptop.json
Any-types-of-damage,Laptop.json
Upto-9-hours,Laptop.json
MV932HN,Laptop.json
Full-Size-Backlit-Keyboard,Laptop.json
2-Years-Onsite-Warranty,Laptop.json
Upto-11.1-hours,Laptop.json
Warranty-Service-Type,Laptop.json
Part-Number-NS14A1IN501P,Laptop.json
Screen-Resolution-3072-x-1920-Pixel,Laptop.json
Part-Number-NS14A2IN245P,Laptop.json
Screen-Resolution-2256-x-1504-Pixel,Laptop.json
Surface-Pro,Laptop.json
2.8-kg,Laptop.json
"USB-Port-1-x-USB-Type-C,-2-x-USB-3.0",Laptop.json
Processor-Variant-8300H,Laptop.json
Dimensions-340-x-258-x-21-mm,Laptop.json
Mac-OS-Sierra,Laptop.json
Weight-2-kg,Laptop.json
Macbook-Pro,Laptop.json
Model-Number-14-cd0050TX,Laptop.json
2-x-USB-Type-C-(With-DC-in),Laptop.json
1-Megapixel-HD-Webcam,Laptop.json
Processor-Variant-9980HK,Laptop.json
Part-Number-90NB0JV3-M02600,Laptop.json
Part-Number-9S7-16W112-293,Laptop.json
Multi-Card-Slot,Laptop.json
Upto-11.5-hours,Laptop.json
Processor-Variant-3750H,Laptop.json
1.26-kg,Laptop.json
Model-Number-S410UA-EB720T,Laptop.json
1.87-kg,Laptop.json
Model-Number-GF63-Thin-9SC-460IN,Laptop.json
720P-FaceTime-HDÂ Webcam,Laptop.json
Business-Laptop,Laptop.json
Dimensions-323-x-228-x-14.9-mm,Laptop.json
1-x-USB-Type-C,Laptop.json
MV962HN,Laptop.json
WIFI-2x2-AC,Laptop.json
Processor-Variant-9750HF,Laptop.json
Model-Number-15-Di0000TX,Laptop.json
2GD81PA#ACJ,Laptop.json
Part-Number-90NB0KD3-M01330,Laptop.json
Screen-Resolution-3840-x-2160-Pixel,Laptop.json
Chrome,Laptop.json
Light-Silver,Laptop.json
Dimensions-358-x-242-x-18-mm,Laptop.json
Bluetooth-v4.2,Laptop.json
Onyx-Black,Laptop.json
Model-Number-FX504GD-E4021T,Laptop.json
Model-Number-X412DA-EK141T,Laptop.json
Model-Number-SP714-51,Laptop.json
2-Years-Limited-Warranty,Laptop.json
Wireless-LAN-Intel-8260-2x2-AC,Laptop.json
RAM-Frequency-2933-MHz,Laptop.json
Not-Available,Laptop.json
Part-Number-90NB0L91-M13450,Laptop.json
Laptop-Bag-Yes,Laptop.json
7th-Gen,Laptop.json
Processor-Variant-10750H,Laptop.json
Dimensions-323.34-x-224-x-19.7-mm,Laptop.json
Dimensions-424-x-332-x-29.9-mm,Laptop.json
256-GB,Laptop.json
Part-Number-90NB0I83-M01800,Laptop.json
Series-GS,Laptop.json
Part-Number-90NB0L93-M14180,Laptop.json
Main-units,Laptop.json
Screen-Size-40.64-cm-(16-inch),Laptop.json
Processor-Variant-1035G7,Laptop.json
6DA87PA,Laptop.json
Graphic-Processor-NVIDIA-Geforce-GTX-1070,Laptop.json
Dimensions-354-x-220-x-17.9-mm,Laptop.json
2-x-2-W-Speakers,Laptop.json
Web-Camera-YES,Laptop.json
Non-backlit-English-Keyboard,Laptop.json
Manufacturing-Warranty,Laptop.json
7WQ13PA#ACJ,Laptop.json
Wireless-LAN-IEEE-802.11ac-(Wi-Fi-5),Laptop.json
Ethernet-YES,Laptop.json
AMD-Radeon-RX-Vega-10,Laptop.json
Pavilion-14-ce,Laptop.json
Dimensions-365-x-260-x-23.9-mm,Laptop.json
Jet-Black,Laptop.json
Backlit-Keyboard-Yes,Laptop.json
Model-Number-NS14A2IN249P,Laptop.json
1.88-kg,Laptop.json
MacBook-Air,Laptop.json
Any-Physical-Damage,Laptop.json
Model-Number-X512FA-EJ547TX512F,Laptop.json
Full-size-Backlit-Keyboard,Laptop.json
1-x-HDMI-Port-(v2.0b),Laptop.json
Internal-Mic,Laptop.json
CD/DVD-reader,Laptop.json
1.47-kg,Laptop.json
Built-in-Speakers,Laptop.json
Model-Number-UX333FA-A4184T,Laptop.json
Part-Number-NH.Q1TSI.003,Laptop.json
9NH09PA#ACJ,Laptop.json
Processor-Variant-4415Y,Laptop.json
Dimensions-325-x-232-x-20.5-mm,Laptop.json
MS-Office-Provided-Yes,Laptop.json
Model-Number-A515-51G-5206,Laptop.json
Wireless-LAN-Integrated-802.11-AC,Laptop.json
Part-Number-NS14A2IN218P,Laptop.json
1.50-kg,Laptop.json
Dimensions-322.7-x-230.5-x-17.9-mm,Laptop.json
Dimensions-361.4-x-244.5-x-20-mm,Laptop.json
Graphic-Processor-NVIDIA-Geforce-GTX-1650,Laptop.json
Series-Inspiron-15-7000-Series,Laptop.json
HP-TrueVision-HD-Webcam,Laptop.json
Processor-Variant-M5-6Y54,Laptop.json
Inbuilt,Laptop.json
Part-Number-9S7-16P612-262,Laptop.json
6th-Gen,Laptop.json
Series-15q,Laptop.json
Wireless-LAN-Intel-Wi-Fi-6-AX-201-(2x2),Laptop.json
Model-Number-X412FA-EK513T,Laptop.json
Killer-Lan,Laptop.json
Upto-12.8-hours,Laptop.json
1.30-kg,Laptop.json
Part-Number-90NB0IM7-M23400,Laptop.json
Upto-5-hours,Laptop.json
Aspire,Laptop.json
7AL87PA#ACJ,Laptop.json
Core-i9,Laptop.json
Platinum-Grey,Laptop.json
Intel-Integrated-UHD-617,Laptop.json
Security-Lock,Laptop.json
VivoBook-Flip-14,Laptop.json
Model-Number-SF314-41,Laptop.json
Granite-Black,Laptop.json
